company_id,company_name,sector,latest_year,P/E,sector_median_PE,5yr_median_PE,PE_vs_sector_median_pct,P/B,EV/EBITDA,market_cap_crore,free_cash_flow_cr,FCF_yield_pct,flag
IRFC,Indian Railway Finance Corporation Ltd,Financials,2024-03,9.81,34.24,37.81,-71.35,3.91,16.66,2618348.58,7906.0,0.3,Discount
JSWENERGY,JSW Energy Ltd,Energy,2024-03,24.79,44.92,36.57,-44.81,9.88,35.95,110870.53,-1963.0,-1.77,Discount
LT,Larsen & Toubro Ltd,Industrials,2024-03,30.8,47.16,18.77,-34.68,2.48,16.63,1124597.5,20445.0,1.82,Discount
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,2024-03,14.22,38.01,34.84,-62.58,0.81,29.08,4173085.48,-11245.0,-0.27,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,2024-03,20.78,38.01,20.78,-45.32,8.26,29.97,1503863.63,4936.0,0.33,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,2024-03,9.54,38.01,30.92,-74.9,2.38,33.39,146151.16,925.0,0.63,Discount
NAUKRI,Info Edge (India) Ltd,Communication Services,2024-03,32.88,48.33,36.89,-31.97,8.33,11.87,563824.44,-150.0,-0.03,Discount
NHPC,"NHPC Ltd
",Energy,2024-03,71.17,44.92,59.63,58.45,13.74,18.26,1740404.25,970.0,0.06,Caution
NTPC,NTPC Ltd,Energy,2024-03,30.8,44.92,54.44,-31.43,5.24,37.12,907823.11,8644.0,0.95,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Energy,2024-03,18.15,44.92,43.8,-59.59,10.36,11.72,390111.05,42060.0,10.78,Discount
PIDILITIND,Pidilite Industries Ltd,Materials,2024-03,36.12,55.62,38.11,-35.06,12.3,5.36,162274.18,955.0,0.59,Discount
PNB,Punjab National Bank,Financials,2024-03,19.29,34.24,20.42,-43.66,10.91,23.64,1825925.6,-29445.0,-1.61,Discount
SBILIFE,SBI Life Insurance Company Ltd,Financials,2024-03,69.98,34.24,60.68,104.38,9.48,31.04,886097.71,-2099.0,-0.24,Caution
SBIN,State Bank of India,Financials,2024-03,54.93,34.24,54.93,60.43,2.72,21.53,2400436.05,18156.0,0.76,Caution
SHREECEM,Shree Cement Ltd,Materials,2024-03,25.87,55.62,32.7,-53.49,1.21,26.58,3154358.33,1929.0,0.06,Discount
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,2024-03,68.53,34.24,37.85,100.15,7.91,28.82,868933.47,-31359.0,-3.61,Caution
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,2024-03,67.07,38.01,34.17,76.48,0.93,15.35,1504106.64,45133.0,3.0,Caution
TATAPOWER,"Tata Power Company Ltd
",Energy,2024-03,14.5,44.92,24.7,-67.72,3.48,12.02,1647269.48,3569.0,0.22,Discount
TITAN,"Titan Company Ltd
",Consumer Discretionary,2024-03,10.13,38.01,26.55,-73.35,10.51,21.0,1793769.72,1506.0,0.08,Discount
TRENT,Trent Ltd,Consumer Discretionary,2024-03,8.65,38.01,65.94,-77.24,11.82,34.65,571322.04,841.0,0.15,Discount
